seed_id,title,year,doi,arxiv_id,layers
GS001,Do Explanations Make VQA Models More Predictable to a Human?,2018,10.18653/v1/D18-1128,,B|C
GS002,Explanations as Mechanisms for Supporting Algorithmic Transparency,2018,10.1145/3173574.3173677,,B|D
GS004,On Human Predictions with Explanations and Predictions of Machine Learning Models: A Case Study on Deception Detection,2018,10.48550/arxiv.1811.07901,1811.07901,A|B
GS005,Overcoming Algorithm Aversion: People Will Use Imperfect Algorithms If They Can (Even Slightly) Modify Them,2018,10.1287/mnsc.2016.2643,,A|D
GS007,The Role of Trust and Automation in an Intelligence Analyst Decisional Guidance Paradigm,2018,10.1177/1555343418799601,,A|D
GS010,X-ToM: Explaining with Theory-of-Mind for Gaining Justified Human Trust,2019,10.48550/arxiv.1909.06907,1909.06907,B|C
GS011,Deceptive AI Explanations: Creation and Detection,2020,10.48550/arxiv.2001.07641,2001.07641,B|C
GS012,Does Explainable Artificial Intelligence Improve Human Decision-Making?,2020,10.31234/osf.io/d4r9t,2006.11194,A|B
GS014,Evaluating Explainable AI: Which Algorithmic Explanations Help Users Predict Model Behavior?,2020,10.18653/v1/2020.acl-main.491,2005.01831,B|C
GS015,How do I fool you? Manipulating User Trust via Misleading Black Box Explanations,2020,10.1145/3375627.3375833,1911.06473,B|D
GS016,Leakage-Adjusted Simulatability: Can Models Generate Non-Trivial Explanations of Their Behavior in Natural Language?,2020,10.18653/v1/2020.findings-emnlp.390,,B|C
GS017,Proxy Tasks and Subjective Measures Can Be Misleading in Evaluating Explainable AI Systems,2020,10.1145/3377325.3377498,2001.08298,B|C
GS018,Adaptive Cognitive Mechanisms to Maintain Calibrated Trust and Reliance in Automation,2021,10.3389/frobt.2021.652776,,A|D
GS020,The Impact of Explanations on Layperson Trust in Artificial Intelligence-Driven Symptom Checker Apps: Experimental Study,2021,10.2196/29386,2202.13444,A|B|D
